1: 1,H,Hydrogen
2: 2,He,Helium
3: 3,Li,Lithium
4: 4,Be,Beryllium
5: 5,B,Boron
6: 6,C,Carbon
7: 7,N,Nitrogen
8: 8,O,Oxygen
9: 9,F,Fluorine
10: 10,Ne,Neon
11: 11,Na,Sodium
12: 12,Mg,Magnesium
13: 13,Al,Aluminium
14: 14,Si,Silicon
15: 15,P,Phosphorus
16: 16,S,Sulfur
17: 17,Cl,Chlorine
18: 18,Ar,Argon
19: 19,K,Potassium
20: 20,Ca,Calcium
21: 21,Sc,Scandium
22: 22,Ti,Titanium
23: 23,V,Vanadium
24: 24,Cr,Chromium
25: 25,Mn,Manganese
26: 26,Fe,Iron
27: 27,Co,Cobalt
28: 28,Ni,Nickel
29: 29,Cu,Copper
30: 30,Zn,Zinc
31: 31,Ga,Gallium
32: 32,Ge,Germanium
33: 33,As,Arsenic
34: 34,Se,Selenium
35: 35,Br,Bromine
36: 36,Kr,Krypton
37: 37,Rb,Rubidium
38: 38,Sr,Strontium
39: 39,Y,Yttrium
40: 40,Zr,Zirconium
41: 41,Nb,Niobium
42: 42,Mo,Molybdenum
43: 43,Tc,Technetium
44: 44,Ru,Ruthenium
45: 45,Rh,Rhodium
46: 46,Pd,Palladium
47: 47,Ag,Silver
48: 48,Cd,Cadmium
49: 49,In,Indium
50: 50,Sn,Tin
51: 51,Sb,Antimony
52: 52,Te,Tellurium
53: 53,I,Iodine
54: 54,Xe,Xenon
55: 55,Cs,Caesium
56: 56,Ba,Barium
57: 57,La,Lanthanum
58: 58,Ce,Cerium
59: 59,Pr,Praseodymium
60: 60,Nd,Neodymium
61: 61,Pm,Promethium
62: 62,Sm,Samarium
63: 63,Eu,Europium
64: 64,Gd,Gadolinium
65: 65,Tb,Terbium
66: 66,Dy,Dysprosium
67: 67,Ho,Holmium
68: 68,Er,Erbium
69: 69,Tm,Thulium
70: 70,Yb,Ytterbium
71: 71,Lu,Lutetium
72: 72,Hf,Hafnium
73: 73,Ta,Tantalum
74: 74,W,Tungsten
75: 75,Re,Rhenium
76: 76,Os,Osmium
77: 77,Ir,Iridium
78: 78,Pt,Platinum
79: 79,Au,Gold
80: 80,Hg,Mercury
81: 81,Tl,Thallium
82: 82,Pb,Lead
83: 83,Bi,Bismuth
84: 84,Po,Polonium
85: 85,At,Astatine
86: 86,Rn,Radon
87: 87,Fr,Francium
88: 88,Ra,Radium
89: 89,Ac,Actinium
90: 90,Th,Thorium
91: 91,Pa,Protactinium
92: 92,U,Uranium
93: 93,Np,Neptunium
94: 94,Pu,Plutonium
95: 95,Am,Americium
96: 96,Cm,Curium
97: 97,Bk,Berkelium
98: 98,Cf,Californium
99: 99,Es,Einsteinium
100: 100,Fm,Fermium
101: 101,Md,Mendelevium
102: 102,No,Nobelium
103: 103,Lr,Lawrencium
104: 104,Rf,Rutherfordium
105: 105,Db,Dubnium
106: 106,Sg,Seaborgium
107: 107,Bh,Bohrium
108: 108,Hs,Hassium
109: 109,Mt,Meitnerium
110: 110,Ds,Darmstadtium
111: 111,Rg,Roentgenium
112: 112,Cn,Copernicium
113: 113,Uut,Ununtrium
114: 114,Fl,Flerovium
115: 115,Uup,Ununpentium
116: 116,Lv,Livermorium
117: 117,Uus,Ununseptium
118: 118,Uuo,Ununoctium
